a	art.一(个) 每
promise	n.诺言 指望 约定 (有)希望 预示 vt.允诺 约定 预示 有可能
promising	adj.有希望的 有前途的
promote	vt.促进 发扬 提升 升迁 发起 促销
prompt	adj. 及时的 迅速的 敏捷的 立刻的 vt. 敦促 激起 促进 推动 提示 vi. 提示 n. 提示 提示的内容 [商] 付款期限
pronoun	n.代名词
pronounce	vt.发...的音 宣布 断言 发表意见
pronunciation	n.发音 发音法
proof	n.证据 证明 校样 adj.防...的 耐...的 能防护 vt.检验给...做防护措施
proper	adj.适合的 正当的 正确的 合乎体统的
properly	adv.适当地 彻底地 当然地
property	n.财产 资产 性质 道具
proportion	n.比 比率 部分 均衡 vt.使成比例 使均衡 分摊
proportional	adj.(成)比例的 相称的 n. [数] 比例项
proposal	n.提议 建议 求婚
propose	vt.提议计划 打算 向...提议 vi.求婚
prospect	n.展望 前景 前程 景色 v.探勘 寻找
prosperity	n.繁荣 昌盛 兴旺
prosperous	adj.繁荣的 昌盛的 兴旺的
protect	vt.保护 保卫 警戒 投保 vi.提供保护
protection	n.保护 警戒 防卫
protective	adj.保护的 防护的
protein	n.蛋白质 朊
protest	n.抗议 反对 抗议书 vi.反对 抗议 断言 vt.坚持地表示对...提出异议
proud	adj.骄傲的 自豪的 壮观的
prove	vt.证明 查验 显示 vi.结果是
provide	vt.提供 供给 装备 规定 准备 vi.供给 提供
provided	conj.假如 若是 以...为条件 adj.预备好的 由...供给的
province	n.省 范围 领域 部门
provision	n.供应(品) 预备 存粮 规定 条款 (pl.)食物 vt.向...供应食物
psychological	adj.心理的 心理学的
public	adj.公众的 公开的 众所周知的 n.公共场合 公众 同好者
publication	n.公布 发表 出版 发行 出版物
publish	vt.公布 发表 出版 发行 vi.出版 发行
pudding	n.布丁 血肠 (英)甜食
puff	n.(一)喷 (一)吹 一阵喷烟 粉扑 泡夫 vt.喷出 喘息 夸张 膨胀 vi.喷出 膨胀 骄傲 adj.吹嘘的
pull	vt.拉 拖 拔 拉 拉力 vi.拔 拉 拖 扳动 n.拉 拖 拉绳 影响
pulse	n.脉搏 脉冲 脉动 v.跳动 脉跳
pump	n. 泵 抽水机 打气筒 心脏 抽水 轻软舞鞋 vt. 用抽机抽 抽水 打气 用泵输送 盘问 涌出 vi. 用泵抽水 快速上下(或内外)运动

单词	释义
punch	vt.冲出 以拳重击 开洞 剪票 按(键) n.冲压机 打洞器 钻孔机 殴打 酒、水、糖等制成的鸡尾酒 拳打
punctual	adj.严守时刻的 准时的 正点的
punish	vt.罚 惩罚 处罚
punishment	n.罚 惩罚 处罚
pupil	n.学生 小学生 学徒 瞳孔
puppet	n.木偶 玩偶 傀儡
purchase	n.买 购买 购买的物品 支点 紧握 抓紧 vt.买 购买 赢得 (用设备)举起 移动
pure	adj.纯的 纯粹的 纯洁的 纯理论的 抽象的 完全的
purely	adv.纯粹地 完全地 清洁地 贞淑地
purify	vt.使纯净 使洁净 (使)精炼 涤罪
purity	n.纯净 纯洁 纯度 纯正 纯粹
purple	n.紫色 皇室 皇权 adj.紫的 帝王的 辞藻华丽的 v.变紫
purpose	n.目的 意图 效果 意志 决心 议题 vt.打算 决意
purse	n.钱包 小钱袋 手袋 资金 金钱 vt.皱起 放进钱包
pursue	vt.追赶 追踪 追捕 追求 进行 继续从事
pursuit	n.追赶 追求 事务 工作
push	vt.推 逼迫 奋力 决心 vi.推 挤 逼迫
put	vt.放 摆 安置 使处于 vi.提交 记下
puzzle	n.难题 谜惑 vi.使迷惑 使困惑 解决 vi.迷惑 苦思
qualify	vt.使具有资格 取得资格 有资格 限定 描述 vi.取得资格 有资格
quality	n.质量 品质 特质 特性 才能 adj.高品质的
quantity	n.量 数量 分量 大量
quarrel	n.争吵 吵架 口角 争论 怨言 vi.吵架 争论 挑剔
quart	n.夸脱(=2品脱)
quarter	n.四分之一 一刻钟 季度 25美分 vt.四等分 vi.住宿 驻扎 adj.四分之一的
quarterly	adj.季度的 adv.季度地 每季一次n.季刊
queen	n.王后 女王 最重要的女子或事物 女冠军 女王蜂 vi.立...为女王 当女王 vt.成为女王或王后 以女王的身份统治 vt.使卒子达底线变为王后取得纵 横 斜自由行走的资格
queer	adj.奇怪的 古怪的 不舒服的 可疑的 n.同性恋者
question	n.发问 问题 疑问 询问 争论点 vt.询问 怀疑 vi.问问题
queue	n.行列 长队 vi.排队等候
quick	adj.快的 敏捷的 迅速的 机敏的 adv.快 迅速地 n.活肉 本质
quicken	vt. 使加快 使...有生气 鼓舞 使(曲线)更弯 使(斜坡)更陡vi. 加快 变快 苏醒 (孕妇) 进入胎动期 变明亮 变活跃
quickly	adv.快 迅速
quiet	adj.寂静的 安静的 静止的 宁静的 adv.安静地 v.使...平静使...安心 n.安静 闲适 平静
quilt	n.被(子) 被状物 vt.缝被 缝制 用垫料填塞 vi.制作被子 做缝制工作
quit	vt.离开 辞职 退出 停止
quite	adv.完全 很 相当 的确
quiz	n.小型考试 (随堂)测验 恶作剧 古怪的人 vt.恶作剧 提问
quotation	n.引用 引文 引语 语录 引用 报价单 行情

单词	释义
quote	vt.引用 引证 报价 举证 n.引用
rabbit	n.兔子 野兔 vi.猎兔 vt.让...见鬼去吧 该死
race	n.比赛 竞赛 竞争 人种 种族 民族v.赛跑 竞赛
racial	adj.种族的 人种的
rack	n.搁物架 行李架 拷问台 齿轨 vt.折磨 使痛苦 拷问 vi.顶风飞行
racket	n.球拍 喧闹纷乱
radar	n.雷达 无线电探测器
radiate	vi.发射光线 辐射 散发 辐射
radiation	n.放射 发射 辐射能
radio	n.无线电 收音机 v.用无线电通讯
radioactive	adj.放射性的
radioactivity	n.放射性 放射(现象) 辐射
radish	n.小萝卜
radium	n.镭
radius	n.半径 桡骨 半径范围 辐射区
rag	n.破布 碎布 抹布 碎屑 石板瓦 散拍乐曲 vt.责骂 欺负 以散拍乐演奏
rage	n.(一阵)狂怒 盛怒 愤怒 情绪激动 风行一时 热量 vi.震怒风行 席卷
raid	n.袭击 突然搜查 劫掠 v.劫掠 攫取 突击搜捕 袭击
rail	n.横条 横杆 铁轨 栏杆 扶手 vt.以横木围栏 铺铁轨 vi.责骂抱怨
railroad	n.铁路=railway(英) vi.由铁路运输 在铁路公司工作 vt.由铁道运输 使(议案等)草草通过
railway	n.铁路 铁道
rain	n.雨 雨水 (复数)雨季 vi.下雨 vt.使大量落下
rainbow	n.虹 彩虹 adj.五彩缤纷的
rainy	adj.下雨的 多雨的
raise	vt.举起 引起 提高 升起 饲养 提出 n.上升 增高 高地
rake	n.耙子 集赌金工具 向船尾的倾斜 vi.耙 用耙子 搜索 向船尾了望
range	n.排 行 ft脉 炉灶 范围 行列 射程 v.排列 归类于 延伸 漫游
rank	n.排 横行 社会阶层 队列 排名 等级 军衔 阶级 adj.繁茂的恶臭的 讨厌的 vt.排列 归类于
rapid	adj.快的 迅速的 急促的 n.急流
rapidly	adv.迅速地
rare	adj.稀薄的 稀有的 稀罕的 罕见的 珍贵的 adj.煎得嫩的
rarely	adv.很少 难得
rat	n.老鼠 耗子 卑鄙的人 变节者 vi.背叛 捕鼠 vt.弄蓬松 告发
rate	n.比率 速度 价格 等级 vt.估价 认为 定等级 责骂 vi.受欢迎 受推崇 责骂
rather	adv.宁可 宁愿 相当 有些 反而
ratio	n.比 比率
rational	adj.理性的 合理的 出于理性的 能推理的 n.有理数
raw	adj.未煮过的 生的 未加工的 原始的 不熟练的 寒冷的 n.触到某人的痛处

单词	释义
ray	n.光线 射线 辐射线 雷(男子名)
razor	n.剃刀
reach	vt.抵达 到达 伸出 延伸 取得联系 vi.达到 延伸 n.延伸 范围 河段
react	vi.起反应 起作用 有影响 反攻 vt.作出反应
reaction	n.反应 反作用 反作用力 化学反应
read	vt.阅读 看懂 理解 识别 vi.读 读起来 研究 adj.博学的 n.阅读
reader	n.读者 读物 读本
readily	adv.乐意地 无困难地 不迟疑地 迅速地 轻易地
reading	n.读 阅读 读书 adj.阅读的
ready	adj.准备好的 愿意的 情愿的 现成的 vt.做好...的准备
real	adj.真的 现实的 实际的 真实的 adv.非常 n.真实的事 真实
reality	n.现实 真实 实际
realize	vt.实现 认识到 了解 意识到 净得
really	adv.真正地 实在 事实上
realm	n.王国 国土 领域
reap	vt. & vi.收割 收获 获得
rear	n. 后部 后面 背面 臀部 adj. 后面的 背面的 后方的 vt. 养育 饲养 举起 建立 抚养 培养 栽种 vi. 高耸 用后腿站立
reason	n.理由 原因 理智 理性 vi.推理 规劝 下判断 vt.说服 总结
reasonable	adj情合理的 公道的 适度的 通情达理的
rebel	vi.造反 n.造反者 叛徒 起义者 vi.造反 反抗 反感 adj.造反的 反抗的 反叛者的
rebellion	n.造反 叛乱 反抗 谋反
recall	vt.回想 叫回 收回 召回 与...相似 恢复 n.回忆 召回 取消
receipt	n.收到 收条 收据
receive	vt.收到 得到 接待 接受 迎接 容纳 遭受 相信 vi.接到 获得
receiver	n.收受者 收件人 接收器 收款员 接待者 听筒
recent	adj.新近的 最近的
recently	adv.最近 新近
reception	n.接待 招待会 接受 接收 欢迎
recite	vt.背诵 朗诵 逐一例举 叙述或回答问题 vi.背诵 朗诵 回答问题
recognition	n.认出 识别 承认 感知 知识
recognize	vt.认识 认出 承认 认可 承认 意识到 表示感激
recollect	vt.回忆 追忆 想起 回想 忆起
recommend	vt.推荐 介绍 劝告 建议 使成为可取 使受欢迎
recommendation	n.推荐 介绍 劝告
record	n.记录 纪录 履历 唱片 vt.记录 (将声音等)录下 表明 adj.关于
recorder	n.记录者 录音机 (英国某些市镇的)首席法官 市法院法官 竖笛
recover	vt.重新获得 挽回 找回 vi.恢复 复原 补偿
recovery	n.重获 痊愈 恢复 复原
red	adj.红色的 n.红色
reduce	vt.减少 减小 简化 分解 减低 归约 使...陷入某种状态 vi.减少

单词	释义
reduction	n.减少 减小 缩减 (化学)还原反应 (数学)约分
reed	n.芦苇 芦杆 芦丛 芦笛 簧片 (Reed)里德(姓氏)
reel	n.卷轴 卷筒 线轴 vi.蹒跚地走 旋转 骚乱 退缩 摇晃 vt.卷卷... 轴上 旋转
refer	vt.使求助于 把...提交 把...归因 归类为 vi.谈到 谈及 咨询 参考
reference	n.参考 出处 提及 参照 推荐人 推荐函 vt.提供参考
refine	vt. & vi.精炼 提纯 净化 使优雅 vi.被提纯 改进
reflect	vt.反射 反映 思考 归咎
reflection	n.反射 映象 反映 折射 沉思 影响
reflexion	n.反射 映象 反映 反射波 折射 考虑 想法 =reflection
reform	n.改革 改正 感化 vt.改革 改正 使悔改 vi.改良 悔改
refresh	vt.使清新 使...生气蓬勃 提起精神 恢复精神 vi.恢复精神
refreshment	n.恢复 精神爽快 提神之事物 (复数)茶点 点心 便餐
refrigerator	n.冰箱 冷藏库
refuge	n.避难(处) 庇护(所) 庇护者 v.庇护 避难(所)
refusal	n.拒绝 回绝
refuse	vt.拒绝 adj.无用的 n.废物 垃圾
refute	vt.驳斥 反驳 驳倒 证明
regard	vt.把...看作 和...有关 尊敬 尊重 视为 注视
regarding	prep.关于 至于
regardless	adv.不顾一切地 adj.不注意的 粗心的
region	n.地区 地带 领域 行政区
register	vt.记录 登记 注册 挂号 n.暂存器 记录 登记簿 (语)语域 通风调节设备
regret	vt.懊悔 为...感到遗憾 后悔 惋惜 抱歉 n.懊悔 遗憾 后悔抱歉
regular	adj.规则的 有规律的 整齐的 正规的
regularly	adv.有规律地 定期地
regulate	vt.管理 控制 调整
regulation	n.规则 规章 管理adj. 规定的 官方的
rehearsal	n.排练 彩排 排演 练习
reign	n.君主统治(时期) 执政 王朝 支配 vi.当政 统治 占优势 支配 盛行
rein	n.缰绳 统驭 支配 机会 vi.驾驭 控制 vt.以缰绳控制 统制
reinforce	vt.增援 支援 加强 vi.得到加强
reject	vt.拒绝 丢掉 丢弃 驳回 排斥 n.被拒之人 不及格者
rejoice	vi.使...欣喜 高兴
relate	vt.叙述 使联系 vi.追溯到 有关联 建立关系 了解
relation	n.关系 联系 家属 亲戚 参考 陈述 故事
relationship	n.关系 联系
relative	adj.有关系的 相对的 比较的 涉及到的 n.亲属 同类事物 相关物
relatively	adv.相对地 比较地
relativity	n.相关性 相对性
relax	vt.使松弛 放松 放宽(限制等) vi.松弛 放松 松懈
release	vt.释放 放松 发表 准予发表 让与 发射 n.释放 让渡 发行
relevant	adj.有关的 相关的 贴切的 切题的 中肯的

单词	释义
reliability	n.可靠性
reliable	adj.可靠的 可信赖的
reliance	n.信任 信赖 信心 所信赖的人或物
relief	n.减轻 救济(品) 援救 解除 安慰 浮雕 对比 adj.提供救济的文本的
relieve	vt.减轻 解除 救济
religion	n.宗教 宗教信仰
religious	adj.宗教的 虔诚的 细心的 n.修道院成员 僧侣
reluctant	adj.不愿的 勉强的
rely	vi.依赖 依靠 信赖
remain	vi.剩下 余留 逗留 保持 依然 留下 n.遗迹 剩余物 残骸
remains	n.残余(余物 遗物 化石) 余额 废墟
remark	vt. & vi.评论 注意 述及 谈论 n.备注 评论 注意
remarkable	adj.异常的 非凡的 显著的 值得注意的
remedy	n.药物 治疗法 补救 vt.治疗 补救 矫正
remember	vt.记得 想起 记住
remind	vt.提醒 使想起
remote	adj.相隔很远的 遥远的 冷淡的 偏僻的 远程的 (感情等)距离很大 n.远程操作
removal	n.移动 移居 迁移 除掉
remove	vt.移动 搬开 脱掉 除去 开除 取下 拿走 vi.迁徙 离开 搬迁 n.间距 移动
render	vt.表示 给予 使得 使成为 提供 报答 着色 执行 实施 vi.给予补偿 n.交纳 粉刷 打底
renew	vt.使更新 复始 使恢复 补充 vi.更新 重新开始
rent	n.租金 租 vi.出租 vt. 出租 租用
repair	vi.去 集合 vt.修理 补救 修补 补偿 n.修理 修补 补救 n.维修工作 维修状态
repeat	vt.重说 重做 重复 复述 vi.重复 n.重复 反复 adj.重复的反复的
repeatedly	adv.重复地 再三地 一再
repent	vi.悔悟 悔改 后悔 vt.后悔
repetition	n.重复 反复
replace	vt.把...放回 取代 更换
reply	vi. & n.回答 答复
report	vt. &vi.报告 汇报n.传闻 报告 成绩单 爆炸声
reporter	n.记者 通讯员
represent	vt.描绘 代表 象征 表现 表示 说明 阐明 vi.提出异议
representative	adj.代表性的 代议制的 典型的 n.代表 众议员 典型
reproach	n.责备 耻辱 vt.责备 申斥 指责
reproduce	vt. & vi.繁殖 生殖 再生 复制
republic	n.共和国 共和政体
republican	adj.共和国的 n.拥护共和政体的人 Republican:共和党人 共和党的
reputation	n.名誉 名声 好名声
request	n. & vt.请求 要求
require	vt.需要 要求 命令
requirement	n.需要 要求 必要条件

单词	释义
rescue	n.援救 解救 营救队 vt.援救 救出 营救
research	n. & vi.调查 探究 研究
researcher	n.调查者 探究者 研究人员
resemble	vt.像 类似 相似
reserve	vt.储备 保留 预定 延期 n.预备品 贮存 候补 克制 含蓄
reservior	n.水库 蓄水池 积蓄 储藏 = reservoir
residence	n.居住 驻扎 住处 住宅
resident	adj.居住的 n.居民 住客 高级专科住院实习医生
resign	vt.放弃 辞职 使顺从 vi.辞职 顺从
resignation	n.放弃 辞职 辞呈 顺从
resist	vt. & vi.抵抗 抵制 耐得住 压制 n.保护膜
resistance	n.抵抗 抵抗力 抵制 反抗 反抗行动 阻力 电阻 反对
resistant	adj.抵抗的 反抗的 n.抵抗者
resolution	n.坚决 坚定 决定 决心 决议 果断 刚毅 解决 解答 病理状态的减退 分辨率 清晰度
resolve	vt.解决 决心 决定 分离 表决 vi.分离 决定 n.决心 决定之事
resort	n. (渡假)胜地 手段 求助 凭借 vi.求助 凭借 诉诸 常去
resource	n.资源 物力 办法 谋略 消遣
respect	n.尊敬 敬重 关系 方面 vt.尊敬 尊重 关于 涉及
respectful	adj.恭敬的 尊重的 有礼貌的 谦恭的
respective	adj.各自的 各个的 分别的
respectively	adv.各自地 分别地
respond	vi.作答 响应 回复 反应 应答 n.拱柱
response	n.作答 回答 响应 反应
responsibility	n.责任 责任心 可信度 职责
responsible	adj.有责任的 尽责的 责任重大的 可靠的
rest	n.休息 安静 静止 其余的部分 其余的人 adj.其余的 vi.搁(在) 休息 信任 vt.使休息 依赖 基于某事
restaurant	n.餐馆 饭店 菜馆
restless	adj.不安定的 焦虑的 静不下来的 得不到休息的
restore	vt.恢复 归还 修补 翻新
restrain	vt.抑制 遏制 限制 阻止 束缚 剥夺
restraint	n.抑制 遏制 克制 束缚
restrict	vt限制 限定 约束
restriction	n.限制 限定 约束
result	n.成果 结果 成绩 答案 vi.发生 结果 产生 致使
resume	vt.恢复 重新开始 再继续 n.简历 履历 摘要
retain	vt.保持 保留 保有 记住
retell	vt.再讲 重述 复述
retire	vi.退下 引退 撤退 退休 就寝 n.退休 退职
retreat	vi.(被迫)退却 后退 撤退 向后倾 n.休息寓所 撤退 隐居
return	n.返回 归还 报答 报告 vi.返回 归还 回来 adj.返回的
reveal	vt.展现 揭示 显示 揭露 透露 n.(外墙与门或窗之间的)窗侧门侧 (汽车的)窗框
revenge	vt.替...报仇 报复 n.报仇 报复 复仇愿望 获得满足的机会

单词	释义
reverse	vt.颠倒 翻转 逆转 倒退 n.背面 相反 失败 挫折 adj.反面的相反的 颠倒的
review	vt.再检查 温习 检讨 评论 检阅 vi.写评论 n.复习 检讨 回顾 评审
revise	vt.修订 校订 校正 修改 n.校订 修正 再校稿
revolt	n.叛乱 反抗 造反 反感 vi.叛乱 反抗 造反 起反感 vt.使...恶心
revolution	n.革命 旋转 绕转 转数
revolutionary	adj.革命的 n.革命者
reward	n.报答 报酬 赏金 vt.报答 给...报酬 奖赏
rhythm	n.韵律 格律 节奏
rib	n.肋 肋骨 嘲笑 vt.嘲笑
ribbon	n.缎带 丝带 带 色带 带状物 vt.用丝带装饰 撕碎
rice	n.稻 米 饭
